name,path,key,competition
Liverpool,football__liverpool,prod-1000000087,football/england/premier_league
Bournemouth,football__bournemouth,prod-1000052183,football/england/premier_league
Newcastle United,football__newcastle_united,prod-1000000044,football/england/premier_league
Aston Villa,football__aston_villa,prod-1000000045,football/england/premier_league
Tottenham,football__tottenham,prod-1000000083,football/england/premier_league
Burnley,football__burnley,prod-1000026643,football/england/premier_league
West Ham,football__west_ham,prod-1000000082,football/england/premier_league
Sunderland,football__sunderland,prod-1000010221,football/england/premier_league
Fulham,football__fulham,prod-1000000103,football/england/premier_league
Brighton,football__brighton,prod-1000074063,football/england/premier_league
Wolves,football__wolves,prod-1000000071,football/england/premier_league
Manchester City,football__manchester_city,prod-1000000139,football/england/premier_league
Nottingham Forest,football__nottingham_forest,prod-1000000046,football/england/premier_league
Brentford,football__brentford,prod-1000069183,football/england/premier_league
Chelsea,football__chelsea,prod-1000000080,football/england/premier_league
Crystal Palace,football__crystal_palace,prod-1000013415,football/england/premier_league
Arsenal,football__arsenal,prod-1000000085,football/england/premier_league
Manchester United,football__manchester_united,prod-1000000086,football/england/premier_league
Everton,football__everton,prod-1000000047,football/england/premier_league
Leeds United,football__leeds_united,prod-1000007584,football/england/premier_league
Leeds AFC,football__leeds_afc,prod-1004648017,football/england/premier_league
Genoa,football__genoa,prod-1000000262,football/italy/serie_a
Lecce,football__lecce,prod-1000048748,football/italy/serie_a
Napoli,football__napoli,prod-1000000233,football/italy/serie_a
Sassuolo,football__sassuolo,prod-1000063908,football/italy/serie_a
Roma,football__roma,prod-1000000100,football/italy/serie_a
Bologna,football__bologna,prod-1000067512,football/italy/serie_a
AC Milan,football__ac_milan,prod-1000000095,football/italy/serie_a
Cremonese,football__cremonese,prod-1000085165,football/italy/serie_a
Inter,football__inter,prod-1000000101,football/italy/serie_a
Torino,football__torino,prod-1000000172,football/italy/serie_a
Lazio,football__lazio,prod-1000000099,football/italy/serie_a
Como,football__como,prod-1000057846,football/italy/serie_a
Fiorentina,football__fiorentina,prod-1000000092,football/italy/serie_a
Cagliari,football__cagliari,prod-1000000097,football/italy/serie_a
Atalanta,football__atalanta,prod-1000000232,football/italy/serie_a
Pisa,football__pisa,prod-1000031135,football/italy/serie_a
Juventus,football__juventus,prod-1000000052,football/italy/serie_a
Parma,football__parma,prod-1000000094,football/italy/serie_a
Udinese,football__udinese,prod-1000000096,football/italy/serie_a
Hellas Verona,football__hellas_verona,prod-1003000353,football/italy/serie_a
New York Red Bulls,football__new_york_red_bulls,prod-1000049619,football/usa/mls
Toronto FC,football__toronto_fc,prod-1000129223,football/usa/mls
New England Revolution,football__new_england_revolution,prod-1000030942,football/usa/mls
Nashville SC,football__nashville_sc,prod-1004494913,football/usa/mls
CF Montréal,football__cf_montréal,prod-1000316544,football/usa/mls
FC Cincinnati,football__fc_cincinnati,prod-1003103966,football/usa/mls
Columbus Crew,football__columbus_crew,prod-1000075957,football/usa/mls
Atlanta United FC,football__atlanta_united_fc,prod-1003735042,football/usa/mls
Sporting Kansas City,football__sporting_kansas_city,prod-1000021587,football/usa/mls
Charlotte FC,football__charlotte_fc,prod-1028220627,football/usa/mls
FC Dallas,football__fc_dallas,prod-1000079425,football/usa/mls
San Jose Earthquakes,football__san_jose_earthquakes,prod-1000288680,football/usa/mls
Chicago Fire,football__chicago_fire,prod-1000026977,football/usa/mls
Philadelphia Union,football__philadelphia_union,prod-1000739444,football/usa/mls
Orlando City,football__orlando_city,prod-1001025953,football/usa/mls
St. Louis City SC,football__st._louis_city_sc,prod-1028344979,football/usa/mls
Houston Dynamo,football__houston_dynamo,prod-1000034617,football/usa/mls
Minnesota United FC,football__minnesota_united_fc,prod-1003735043,football/usa/mls
Los Angeles Galaxy,football__los_angeles_galaxy,prod-1000002211,football/usa/mls
Colorado Rapids,football__colorado_rapids,prod-1000059374,football/usa/mls
Vancouver Whitecaps,football__vancouver_whitecaps,prod-1000316539,football/usa/mls
San Diego FC,football__san_diego_fc,prod-1030241001,football/usa/mls
D.C. United,football__d.c._united,prod-1000091446,football/usa/mls
New York City FC,football__new_york_city_fc,prod-1001970743,football/usa/mls
Portland Timbers,football__portland_timbers,prod-1000316538,football/usa/mls
Real Salt Lake,football__real_salt_lake,prod-1000081428,football/usa/mls
Seattle Sounders,football__seattle_sounders,prod-1000316541,football/usa/mls
Austin FC,football__austin_fc,prod-1007281714,football/usa/mls
Los Angeles FC,football__los_angeles_fc,prod-1004386839,football/usa/mls
Inter Miami CF,football__inter_miami_cf,prod-1005963206,football/usa/mls
VfL Wolfsburg,football__vfl_wolfsburg,prod-1000000104,football/germany/bundesliga
Eintracht Frankfurt,football__eintracht_frankfurt,prod-1000000106,football/germany/bundesliga
VfB Stuttgart,football__vfb_stuttgart,prod-1000000107,football/germany/bundesliga
Borussia Dortmund,football__borussia_dortmund,prod-1000000110,football/germany/bundesliga
Werder Bremen,football__werder_bremen,prod-1000000112,football/germany/bundesliga
Bayer Leverkusen,football__bayer_leverkusen,prod-1000000113,football/germany/bundesliga
Bayern München,football__bayern_münchen,prod-1000000114,football/germany/bundesliga
Hamburger SV,football__hamburger_sv,prod-1000000116,football/germany/bundesliga
Borussia Mönchengladbach,football__borussia_mönchengladbach,prod-1000000273,football/germany/bundesliga
1. FC Union Berlin,football__1._fc_union_berlin,prod-1000029243,football/germany/bundesliga
FC St. Pauli,football__fc_st._pauli,prod-1000034348,football/germany/bundesliga
SC Freiburg,football__sc_freiburg,prod-1000038628,football/germany/bundesliga
FC Augsburg,football__fc_augsburg,prod-1000053608,football/germany/bundesliga
TSG Hoffenheim,football__tsg_hoffenheim,prod-1000073095,football/germany/bundesliga
1. FC Köln,football__1._fc_köln,prod-1000084995,football/germany/bundesliga
1. FC Heidenheim,football__1._fc_heidenheim,prod-1000355762,football/germany/bundesliga
RB Leipzig,football__rb_leipzig,prod-1000729828,football/germany/bundesliga
1. FSV Mainz 05,football__1._fsv_mainz_05,prod-1005317426,football/germany/bundesliga
Valencia,football__valencia,prod-1000000035,football/spain/la_liga
Athletic Bilbao,football__athletic_bilbao,prod-1000000048,football/spain/la_liga
Atlético Madrid,football__atlético_madrid,prod-1000000123,football/spain/la_liga
Real Madrid,football__real_madrid,prod-1000000125,football/spain/la_liga
Mallorca,football__mallorca,prod-1000000126,football/spain/la_liga
Celta Vigo,football__celta_vigo,prod-1000000127,football/spain/la_liga
FC Barcelona,football__fc_barcelona,prod-1000000160,football/spain/la_liga
Real Sociedad,football__real_sociedad,prod-1000000162,football/spain/la_liga
Espanyol,football__espanyol,prod-1000000164,football/spain/la_liga
Alaves,football__alaves,prod-1000000165,football/spain/la_liga
Sevilla,football__sevilla,prod-1000000168,football/spain/la_liga
Real Betis,football__real_betis,prod-1000000169,football/spain/la_liga
Osasuna,football__osasuna,prod-1000000265,football/spain/la_liga
Villarreal,football__villarreal,prod-1000000285,football/spain/la_liga
Levante,football__levante,prod-1000000348,football/spain/la_liga
Getafe,football__getafe,prod-1000000351,football/spain/la_liga
Rayo Vallecano,football__rayo_vallecano,prod-1000008214,football/spain/la_liga
Girona,football__girona,prod-1000090163,football/spain/la_liga
Edmonton Oilers,ice_hockey__edmonton_oilers,prod-1000000043,ice_hockey/nhl
Toronto Maple Leafs,ice_hockey__toronto_maple_leafs,prod-1000000057,ice_hockey/nhl
Pittsburgh Penguins,ice_hockey__pittsburgh_penguins,prod-1000000058,ice_hockey/nhl
Nashville Predators,ice_hockey__nashville_predators,prod-1000000061,ice_hockey/nhl
Ottawa Senators,ice_hockey__ottawa_senators,prod-1000000102,ice_hockey/nhl
Columbus Blue Jackets,ice_hockey__columbus_blue_jackets,prod-1000000291,ice_hockey/nhl
Montreal Canadiens,ice_hockey__montreal_canadiens,prod-1000005630,ice_hockey/nhl
Florida Panthers,ice_hockey__florida_panthers,prod-1000006493,ice_hockey/nhl
Utah Mammoth,ice_hockey__utah_mammoth,prod-1000006881,ice_hockey/nhl
New York Islanders,ice_hockey__new_york_islanders,prod-1000007872,ice_hockey/nhl
Chicago Blackhawks,ice_hockey__chicago_blackhawks,prod-1000011008,ice_hockey/nhl
Tampa Bay Lightning,ice_hockey__tampa_bay_lightning,prod-1000019460,ice_hockey/nhl
Boston Bruins,ice_hockey__boston_bruins,prod-1000020113,ice_hockey/nhl
Carolina Hurricanes,ice_hockey__carolina_hurricanes,prod-1000025164,ice_hockey/nhl
Washington Capitals,ice_hockey__washington_capitals,prod-1000029987,ice_hockey/nhl
Vancouver Canucks,ice_hockey__vancouver_canucks,prod-1000034398,ice_hockey/nhl
New Jersey Devils,ice_hockey__new_jersey_devils,prod-1000035936,ice_hockey/nhl
Philadelphia Flyers,ice_hockey__philadelphia_flyers,prod-1000038732,ice_hockey/nhl
San José Sharks,ice_hockey__san_josé_sharks,prod-1000043326,ice_hockey/nhl
